	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63
1	0	0.640734942	0.663508349	0.597092394	0.687409875	0.696173413	0.627122447	0.71936671	0.611317903	0.738177403	0.685362528	0.600018408	0.68002268	0.718167171	0.712067041	0.682430753	0.625966386	0.577715955	0.674030985	0.6578349	0.681127928	0.674354613	0.699224757	0.622739242	0.638113487	0.663108096	0.619434907	0.686564418	0.660537531	0.655843425	0.628985296	0.596290681	0.613369406	0.610627968	0.690788156	0.657798813	0.665256159	0.648350435	0.616596262	0.644131775	0.733505591	0.695741634	0.718780328	0.7218418	0.601654958	0.6647914	0.635841275	0.708132722	0.710521591	0.727384478	0.740427854	0.765552275	0.746009793	0.755082449	0.747057499	0.612308996	0.616286502	0.695934176	0.702688634	0.750042578	0.631138304	0.710456239	0.728983442
2	0.640734942	0	0.606683196	0.626162266	0.756533044	0.717532696	0.66091241	0.760786863	0.611904662	0.78131638	0.683704555	0.631217515	0.715544761	0.771440581	0.721407633	0.752551759	0.594067182	0.646452393	0.593120785	0.552044205	0.546138372	0.547859134	0.623108587	0.631111811	0.562550336	0.678761835	0.696899696	0.755179123	0.70791005	0.750795976	0.667754879	0.621192626	0.700391165	0.605791453	0.746886465	0.651550325	0.572060852	0.540688411	0.672848998	0.683012202	0.775757167	0.742320577	0.792332395	0.757703744	0.66519206	0.701800964	0.638106905	0.781168273	0.754612686	0.766416369	0.800454131	0.79358331	0.75384664	0.798242306	0.791099554	0.711266475	0.694250442	0.765788584	0.723508791	0.802657715	0.727138739	0.786795392	0.803470154
3	0.663508349	0.606683196	0	0.657395818	0.676473378	0.66915392	0.61154513	0.699869981	0.677340647	0.716497598	0.659964264	0.661525841	0.621841731	0.703115749	0.692180856	0.693594776	0.662200311	0.699046969	0.579110997	0.528980844	0.665753046	0.618259664	0.54441937	0.647717256	0.612808162	0.656675818	0.662459593	0.681652782	0.617340074	0.671741014	0.641753675	0.685362897	0.702176958	0.653320293	0.687949604	0.668050581	0.606498893	0.639711042	0.691298556	0.718299635	0.692095132	0.653300138	0.738108941	0.710328248	0.641123845	0.627786739	0.587066799	0.712002817	0.672801687	0.720946442	0.746701634	0.75004108	0.684809792	0.755243645	0.73284616	0.686788651	0.679190324	0.712684918	0.650677703	0.757474622	0.663453456	0.69308276	0.742990112
4	0.597092394	0.626162266	0.657395818	0	0.732175277	0.719631069	0.605400882	0.743808255	0.562202451	0.762952203	0.686496385	0.644645135	0.670192261	0.762481581	0.731207658	0.7320233	0.550757916	0.633278988	0.661258413	0.625684048	0.62542155	0.620543238	0.692836818	0.651898976	0.643464542	0.645018303	0.668994677	0.705007017	0.652890282	0.717132242	0.663927154	0.595451767	0.661930247	0.556685463	0.736944963	0.620800014	0.661102339	0.631006748	0.662335664	0.643409195	0.758552268	0.714460919	0.773193992	0.75490755	0.609388486	0.679109266	0.623852311	0.750192879	0.736835102	0.767663453	0.792398705	0.817590164	0.774311826	0.791654555	0.78491396	0.68335631	0.649234293	0.727854033	0.701009106	0.795870745	0.697001511	0.748157778	0.781540509
5	0.687409875	0.756533044	0.676473378	0.732175277	0	0.568333504	0.654257542	0.570364579	0.712971965	0.606051062	0.633955844	0.663465732	0.656567205	0.558074279	0.624320209	0.559843536	0.736065876	0.716916699	0.706715652	0.716104014	0.78169112	0.757453997	0.692572607	0.687526592	0.732735563	0.663139528	0.665117556	0.598925089	0.612920237	0.607520926	0.696223196	0.736178557	0.677738234	0.723914355	0.520492702	0.687504923	0.71780102	0.75648757	0.677755834	0.735329364	0.565889376	0.551292395	0.578619386	0.541823938	0.680324675	0.567628613	0.655011318	0.524172772	0.583755305	0.609889329	0.620302603	0.664247637	0.61088944	0.628512953	0.623906396	0.676870811	0.681285551	0.610494272	0.564645077	0.64978017	0.615731729	0.607506189	0.668106786
6	0.696173413	0.717532696	0.66915392	0.719631069	0.568333504	0	0.628775531	0.612025008	0.697766096	0.595614775	0.620866183	0.678717562	0.638263001	0.610796657	0.636594946	0.597564379	0.690722162	0.718113362	0.653204715	0.689155748	0.759800311	0.712635027	0.681546187	0.686674752	0.709174254	0.625268308	0.665662185	0.563034339	0.596040141	0.649670723	0.67505475	0.72039137	0.685134262	0.694914167	0.599601288	0.657588968	0.695060645	0.742116463	0.668162279	0.729943526	0.602153278	0.558591987	0.634153617	0.599568725	0.678761357	0.579854146	0.634702957	0.575749146	0.630778484	0.64858622	0.648212936	0.688109546	0.61729194	0.659851382	0.640673828	0.680535724	0.70354344	0.625081763	0.528592156	0.69318211	0.637541155	0.620894278	0.709195593
7	0.627122447	0.66091241	0.61154513	0.605400882	0.654257542	0.628775531	0	0.667783606	0.587866381	0.677986797	0.636235155	0.63230065	0.602101073	0.701802923	0.699210595	0.682890906	0.615678518	0.668732136	0.632212355	0.613635872	0.688100989	0.637117435	0.638282847	0.64336896	0.662747924	0.609516564	0.632542212	0.608369708	0.563888281	0.652652154	0.65206433	0.661803025	0.656566853	0.610188091	0.659757893	0.59780116	0.67522073	0.681016131	0.633018413	0.684471856	0.686904112	0.637790691	0.713514448	0.681885534	0.608467128	0.626878808	0.570186119	0.665657032	0.69098828	0.72217136	0.749487946	0.765413627	0.711127914	0.752075358	0.730902475	0.664284244	0.652644484	0.641405507	0.637557938	0.747984133	0.631900219	0.664555948	0.730256423
8	0.71936671	0.760786863	0.699869981	0.743808255	0.570364579	0.612025008	0.667783606	0	0.731502434	0.586359175	0.668030964	0.709442632	0.696456874	0.583781663	0.639669259	0.613848965	0.747385986	0.738080017	0.745196382	0.74501075	0.792920076	0.780705247	0.717841716	0.727797203	0.756696369	0.692943398	0.701167572	0.637120953	0.6671994	0.663664223	0.729621987	0.744622882	0.728384586	0.741114049	0.611770397	0.718411497	0.743698949	0.774346606	0.695098791	0.751231297	0.591156799	0.535919987	0.592624885	0.585840393	0.704729312	0.631800064	0.698097724	0.596977358	0.620468625	0.619882122	0.638737048	0.655037637	0.613225372	0.631359685	0.587761928	0.715119025	0.709081701	0.644969541	0.578893568	0.660210695	0.653747782	0.651744166	0.718070819
9	0.611317903	0.611904662	0.677340647	0.562202451	0.712971965	0.697766096	0.587866381	0.731502434	0	0.763966781	0.669069876	0.631412033	0.649757982	0.748823844	0.726787727	0.719895555	0.560901839	0.61763223	0.643071292	0.619828809	0.611633035	0.613408806	0.67639751	0.645376898	0.64427228	0.652814242	0.694266386	0.70702014	0.644793467	0.717407144	0.655497292	0.611239294	0.653982977	0.55699284	0.717325319	0.605278925	0.66807289	0.623407289	0.650821802	0.640815992	0.745111678	0.714371707	0.774564535	0.732144981	0.598676907	0.674414591	0.638833951	0.734059669	0.729080353	0.754081482	0.780391127	0.801836489	0.768886294	0.78810644	0.777295647	0.694686007	0.660446391	0.729188555	0.695752535	0.787476125	0.694983258	0.733944508	0.787487581
10	0.738177403	0.78131638	0.716497598	0.762952203	0.606051062	0.595614775	0.677986797	0.586359175	0.763966781	0	0.665648563	0.74326622	0.706911828	0.598596054	0.630575697	0.632728417	0.773172355	0.760826338	0.751153062	0.769281942	0.809772479	0.79673263	0.75088515	0.754179618	0.77010333	0.698492727	0.70953471	0.623452435	0.683393871	0.678973005	0.747162105	0.765478432	0.721100404	0.766090189	0.596858801	0.736605703	0.756301728	0.792352229	0.689877411	0.762331425	0.595054686	0.545958224	0.563019033	0.589724757	0.719180293	0.618885516	0.710891339	0.555511166	0.63185728	0.604025804	0.620221967	0.637613774	0.600315785	0.623348994	0.582691933	0.734187203	0.720946868	0.61271555	0.620588321	0.620950113	0.625688963	0.590460686	0.67378606
