Sample	Plot	Site	Treatment	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	Rainfall	pH	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
1	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
2	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
3	1	Asientos	Low	769.1504583	0.122442047	1026.172526	5.311675425	169.3186331	38.1743125	318.3832081	227.613122	2.847722894	3.063396583	218.83	5.65	0.018683914	-0.318783175	0.084852191	0.030351977	-0.076179322	-0.015129338	-0.012016855	0.097262648	-0.029714125	0.001471455	0.081031686
4	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
5	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
6	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
7	1	Asientos	High	199.106275	0.112206998	4342.241767	4.543353687	90.8114429	35.71765275	273.1330035	165.8299296	5.150251425	2.640298632	218.83	7.43	0.013973219	-0.041017911	0.171782009	0.190040156	-0.004337858	-0.007894081	0.04578935	-0.125983748	0.02300156	-0.00970082	-0.09829254
8	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
9	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
10	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
11	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
12	2	Asientos	Low	767.5220182	0.249872327	2600.95306	6.537060145	129.4155258	55.60308415	713.4200677	77.63070807	1.967745188	2.736982088	218.83	6.78	-0.105025163	-0.081527687	0.087543978	-0.249063303	0.04003408	0.116205075	0.026314671	-0.046358399	0.02509806	-0.012161097	-0.059671764
13	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
14	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
15	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
16	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
17	2	Asientos	High	281.3406012	0.260241736	5891.121868	6.454892565	94.03255833	43.7809052	618.4476074	92.74474765	2.355821429	3.206287951	218.83	7.84	-0.090122114	0.156038117	0.184285429	-0.0290162	0.115602805	-0.122422798	-0.071807464	0.091353107	-0.012489278	-0.020188509	0.019694454
