Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
121	-0.169374854	0.036263044	-0.071219679	0.008562292	-0.004095147	-0.054001235	0.144318521	0.039809916	0.083790686	0.148913021	0.013968828
126	-0.169374854	0.036263044	-0.071219679	0.008562292	-0.004095147	-0.054001235	0.144318521	0.039809916	0.083790686	0.148913021	0.013968828
117	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
120	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
122	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
123	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
124	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
125	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
53	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
55	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
58	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
60	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
61	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
63	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
54	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
56	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
57	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
59	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
62	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
64	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
