	24	25	26	27	28	32	33	34	36	37	38	40	41	42	43	44	45	46	47	48	75	76	77	78	79	80	81	82	83	84	85	10LD	12LD	13LD	14LD	15LD	16LD	17LD	18LD	19LD	1LD	20LD	21LD	22LD	23LD	2LD	3LD	4LD	6LD	7LD	8LD	9LD
38	0.612431677	0.601965504	0.63164336	0.627376019	0.614581197	0.575388453	0.574327062	0.522335769	0.537948514	0.654370693	0	0.604458725	0.661041881	0.658555574	0.738865843	0.667390972	0.700635475	0.665791482	0.664137786	0.688753536	0.608143454	0.628270883	0.672019513	0.645464322	0.646268266	0.692509623	0.755900245	0.616448222	0.624347724	0.572494048	0.607450083	0.748273601	0.746823381	0.701507583	0.683955643	0.684871575	0.713219285	0.631127366	0.684348481	0.621413912	0.694750579	0.615762865	0.592982198	0.654651304	0.648524648	0.640705891	0.608527481	0.619076219	0.656578758	0.71427001	0.634562616	0.667233499
40	0.614548679	0.642270843	0.616972461	0.610049883	0.649742883	0.594514669	0.604221177	0.608782011	0.60615158	0.619102967	0.604458725	0	0.649365757	0.621750187	0.669743007	0.688873532	0.637390565	0.623204132	0.652871239	0.642569291	0.630380802	0.582177884	0.62459092	0.647049181	0.63209715	0.708787379	0.745120577	0.616270711	0.619792108	0.613511072	0.64882934	0.767615295	0.690053632	0.674559916	0.649821268	0.669037922	0.689590258	0.649818368	0.649161776	0.63012071	0.701606266	0.671477586	0.608519232	0.696731195	0.630701231	0.63672873	0.600702767	0.609469813	0.633777461	0.665493829	0.65326364	0.66618755
41	0.595403423	0.675368951	0.631639547	0.619193038	0.60634527	0.649820799	0.684819806	0.640876088	0.626676171	0.727496837	0.661041881	0.649365757	0	0.596604631	0.639279002	0.596871077	0.602354692	0.604495782	0.60145879	0.620520387	0.700183713	0.661925262	0.685838637	0.681081297	0.662922751	0.731608694	0.78741407	0.714400423	0.690890233	0.675838046	0.674792176	0.736106434	0.680899783	0.64376104	0.665312167	0.665442394	0.701856898	0.593546493	0.628016506	0.550960076	0.68508621	0.648064308	0.595346374	0.63009774	0.635733521	0.644838943	0.626667347	0.658653807	0.667123204	0.660690336	0.646518919	0.645597793
42	0.618763847	0.697473327	0.63816106	0.63474187	0.638327644	0.592618761	0.671611301	0.621820067	0.579652066	0.710542633	0.658555574	0.621750187	0.596604631	0	0.681627172	0.650513299	0.620939917	0.63582513	0.619375543	0.644049393	0.681205297	0.659183383	0.69422591	0.648337118	0.675643118	0.724040968	0.765780543	0.701911417	0.674365969	0.663219021	0.67108401	0.743621924	0.717821424	0.698030184	0.692761325	0.694046386	0.689222531	0.633514244	0.649170822	0.636222509	0.716042168	0.643197675	0.609833761	0.655657645	0.646990221	0.704590997	0.650196742	0.660672105	0.673577768	0.680398691	0.660543127	0.666563721
43	0.606481165	0.651938559	0.627721356	0.591535085	0.646011847	0.667263245	0.674276854	0.71211514	0.709702923	0.722343159	0.738865843	0.669743007	0.639279002	0.681627172	0	0.562425775	0.622817445	0.572909349	0.60709212	0.587855194	0.689591569	0.63276997	0.684865618	0.733243175	0.664820163	0.73384551	0.800356508	0.711213595	0.663811102	0.673896471	0.705068868	0.764618001	0.524738589	0.623727559	0.574447364	0.632276327	0.721865763	0.70285757	0.577153588	0.59821166	0.721871757	0.662767054	0.618230056	0.668915038	0.612329403	0.689188181	0.683938109	0.639552965	0.669605422	0.576614888	0.682972089	0.665711001
44	0.586415851	0.647480478	0.613116572	0.586090602	0.623533961	0.649989837	0.670455121	0.664721709	0.694430791	0.700112753	0.667390972	0.688873532	0.596871077	0.650513299	0.562425775	0	0.614386759	0.578253851	0.566523484	0.616298587	0.67676947	0.664390113	0.713064181	0.705612435	0.649988923	0.732065471	0.799048747	0.718515092	0.681525395	0.665163928	0.685691557	0.71392956	0.621035656	0.648793187	0.589428018	0.650919773	0.719429258	0.638324375	0.607394105	0.609159875	0.718082807	0.642869066	0.620739367	0.630186234	0.63183061	0.687708445	0.659126818	0.655569619	0.679956741	0.612143368	0.661394309	0.631161716
45	0.651139846	0.646953168	0.640933553	0.611527394	0.649161922	0.651014897	0.687906335	0.639744009	0.633742913	0.71699153	0.700635475	0.637390565	0.602354692	0.620939917	0.622817445	0.614386759	0	0.618284176	0.617043404	0.566105629	0.682422631	0.657007741	0.660396841	0.687450466	0.695988953	0.746260382	0.794451293	0.720615133	0.66373605	0.691640902	0.689651429	0.741271089	0.66151681	0.657988535	0.665697	0.665508156	0.712321389	0.678190309	0.61967985	0.612465354	0.679678191	0.669021167	0.6299507	0.643701751	0.628730243	0.6495852	0.651984011	0.662023105	0.672832977	0.667152411	0.642494544	0.674211705
46	0.572293111	0.633085005	0.627932102	0.571816968	0.589719065	0.651707491	0.639154259	0.642559368	0.670092517	0.700448866	0.665791482	0.623204132	0.604495782	0.63582513	0.572909349	0.578253851	0.618284176	0	0.591682588	0.553999349	0.664292074	0.642990689	0.66503336	0.68638887	0.63540822	0.713742585	0.772933286	0.680896684	0.679296842	0.634265953	0.667362881	0.719010002	0.601685474	0.631517126	0.575217996	0.630284461	0.656294285	0.655520189	0.608356067	0.609121151	0.735625567	0.641855076	0.588549862	0.64019765	0.568093699	0.661093382	0.629524403	0.641132706	0.647632004	0.619614179	0.650905815	0.646224545
47	0.547828867	0.664689951	0.620313383	0.600129043	0.601740033	0.664856479	0.684232912	0.659909534	0.658447266	0.69857911	0.664137786	0.652871239	0.60145879	0.619375543	0.60709212	0.566523484	0.617043404	0.591682588	0	0.613495361	0.68097123	0.692244209	0.704644235	0.720498531	0.675798949	0.732059586	0.776218172	0.712886113	0.680990222	0.676202937	0.701546437	0.762438917	0.613332789	0.646744209	0.598588325	0.65274678	0.730633332	0.66301836	0.621562083	0.593502508	0.72227584	0.638478564	0.583318302	0.655211835	0.627127079	0.680069539	0.662394847	0.642512897	0.667032501	0.606814827	0.655342496	0.646340952
48	0.620713846	0.669071312	0.64099529	0.606523376	0.597620365	0.669795857	0.690948186	0.653604436	0.666568743	0.723940331	0.688753536	0.642569291	0.620520387	0.644049393	0.587855194	0.616298587	0.566105629	0.553999349	0.613495361	0	0.709795952	0.630592596	0.689349345	0.711592876	0.692886292	0.749466633	0.79279699	0.726383576	0.668192357	0.681486523	0.709996215	0.720232759	0.612562767	0.66969952	0.608515717	0.637815334	0.646884236	0.684876419	0.641535904	0.602359518	0.702107062	0.673492631	0.633645412	0.669454347	0.579962986	0.637809923	0.64565634	0.669224663	0.696598183	0.642217772	0.652212491	0.675309038
