Sample	Plot	Site	Treatment	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	Rainfall	pH
107	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
111	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
112	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
113	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
115	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68
116	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7
118	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7
119	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7
121	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7
126	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7
117	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74
120	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74
122	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74
123	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74
124	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74
