Sample	Plot	Site	Treatment	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	Rainfall	pH	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
85	3	Ejido	Low	527.4132521	0.364555	1645.347798	5.253810098	114.2218495	145.5776833	1754.337017	151.5432968	5.51685296	2.009551846	108.73	6.55	0.132439718	0.037496745	-0.039111326	-0.10864296	-0.106629863	-0.142839787	-0.014966242	-0.137685866	0.03150103	-0.032680239	0.076083458
84	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
76	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
77	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
78	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
80	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
83	3	Ejido	High	85.93508214	0.393973411	4543.042634	4.778714923	82.64329579	133.8784363	1487.907812	128.7519442	6.297268124	2.085181685	108.73	7.99	0.175117724	0.186747991	0.046360822	-0.009232046	-0.179433535	0.085379937	-0.007424324	0.089917858	-0.035668955	0.02831306	-0.049671025
33	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18	0.254061877	-0.096731625	-0.153683225	-0.019048796	0.0966203	-0.069291329	-0.049567598	0.040293112	-0.009150927	0.030136107	-0.126487022
34	4	Ejido	Low	596.7927037	0.253790475	1597.677472	5.744595031	105.6338618	171.367238	1679.295553	148.4250701	7.635313495	1.995310889	108.73	6.18	0.254061877	-0.096731625	-0.153683225	-0.019048796	0.0966203	-0.069291329	-0.049567598	0.040293112	-0.009150927	0.030136107	-0.126487022
32	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68	0.252455204	0.058323413	-0.009421533	0.051703831	0.132266315	0.119870624	0.048876287	-0.014222189	0.034239036	-0.013117453	0.125507016
36	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68	0.252455204	0.058323413	-0.009421533	0.051703831	0.132266315	0.119870624	0.048876287	-0.014222189	0.034239036	-0.013117453	0.125507016
37	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68	0.252455204	0.058323413	-0.009421533	0.051703831	0.132266315	0.119870624	0.048876287	-0.014222189	0.034239036	-0.013117453	0.125507016
38	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68	0.252455204	0.058323413	-0.009421533	0.051703831	0.132266315	0.119870624	0.048876287	-0.014222189	0.034239036	-0.013117453	0.125507016
40	4	Ejido	High	229.13706	0.293688607	4603.419851	5.288489614	77.8590928	167.6123436	1485.053432	126.9342434	6.165243281	1.88657446	108.73	7.68	0.252455204	0.058323413	-0.009421533	0.051703831	0.132266315	0.119870624	0.048876287	-0.014222189	0.034239036	-0.013117453	0.125507016
10LD	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7	-0.169374854	0.036263044	-0.071219679	0.008562292	-0.004095147	-0.054001235	0.144318521	0.039809916	0.083790686	0.148913021	0.013968828
13LD	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7	-0.169374854	0.036263044	-0.071219679	0.008562292	-0.004095147	-0.054001235	0.144318521	0.039809916	0.083790686	0.148913021	0.013968828
18LD	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7	-0.169374854	0.036263044	-0.071219679	0.008562292	-0.004095147	-0.054001235	0.144318521	0.039809916	0.083790686	0.148913021	0.013968828
8LD	5	Divisa	Low	384.3939625	0.244987495	1486.420389	7.506025239	372.5784625	380.0822284	251.2033765	54.1730498	45.15697081	9.350365668	197.5	6.7	-0.169374854	0.036263044	-0.071219679	0.008562292	-0.004095147	-0.054001235	0.144318521	0.039809916	0.083790686	0.148913021	0.013968828
12LD	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
14LD	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
15LD	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
16LD	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
17LD	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
9LD	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74	-0.142754555	0.029132791	-0.127207514	0.033904025	-0.010474806	-0.011729766	0.10868101	0.050821427	-0.036544165	-0.178114361	-0.021435037
41	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
43	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
46	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
48	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69	-0.188109299	0.009041935	-0.101127419	0.073767663	-0.027544573	0.068901909	-0.172692183	-0.006844368	0.128779952	-0.013009327	0.008447549
42	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
44	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
45	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
47	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52	-0.151345673	0.025016362	-0.073053734	0.02667336	0.024171604	0.032950788	-0.045505174	-0.078363499	-0.202842873	0.070138163	0.030824397
