	1	2	3	4	5	6	7	8	9	10	11	12
1	0	0.451317889	0.474881589	0.554198319	0.50194335	0.567238479	0.495788862	0.53878952	0.509730949	0.505905505	0.513211473	0.503600501
2	0.451317889	0	0.491223464	0.44907279	0.466257363	0.478894368	0.514306518	0.465212757	0.460815197	0.4651254	0.47148721	0.453275565
3	0.474881589	0.491223464	0	0.462019262	0.473145549	0.532844747	0.546420848	0.540047552	0.443477713	0.455858379	0.467207667	0.442272156
4	0.554198319	0.44907279	0.462019262	0	0.48020543	0.48247986	0.571729902	0.518719396	0.439995753	0.45764638	0.469346564	0.443568736
5	0.50194335	0.466257363	0.473145549	0.48020543	0	0.417823524	0.42448803	0.43551145	0.469800136	0.465223376	0.498188447	0.469204319
6	0.567238479	0.478894368	0.532844747	0.48247986	0.417823524	0	0.487526081	0.423026102	0.513843375	0.504250601	0.533199749	0.508363167
7	0.495788862	0.514306518	0.546420848	0.571729902	0.42448803	0.487526081	0	0.408451429	0.543131889	0.521441105	0.555940724	0.530500951
8	0.53878952	0.465212757	0.540047552	0.518719396	0.43551145	0.423026102	0.408451429	0	0.534894409	0.5201542	0.552582837	0.522690835
9	0.509730949	0.460815197	0.443477713	0.439995753	0.469800136	0.513843375	0.543131889	0.534894409	0	0.361159249	0.390946305	0.38443329
10	0.505905505	0.4651254	0.455858379	0.45764638	0.465223376	0.504250601	0.521441105	0.5201542	0.361159249	0	0.386657138	0.372491801
11	0.513211473	0.47148721	0.467207667	0.469346564	0.498188447	0.533199749	0.555940724	0.552582837	0.390946305	0.386657138	0	0.383743724
12	0.503600501	0.453275565	0.442272156	0.443568736	0.469204319	0.508363167	0.530500951	0.522690835	0.38443329	0.372491801	0.383743724	0
